steps,return,score
0,2.377132623,7
40000,5.221101704,73
80000,5.259845303,56.33333333
120000,5.689842792,61
160000,4.346746825,69.33333333
200000,6.199580717,58.33333333
240000,4.958688987,69
280000,6.475278512,72
320000,6.347841711,68
360000,4.675186517,57.33333333
400000,4.032542691,48.33333333
440000,5.922065562,59
480000,4.620694573,45.33333333
520000,4.262609249,37
560000,3.232699605,26.66666667
600000,2.103422743,16.66666667
640000,2.649464884,16.33333333
680000,2.412436449,20
720000,3.718560319,45
760000,3.259515924,22
800000,2.477081875,18.33333333
840000,4.093455711,33.33333333
880000,3.051916104,19
920000,2.829186636,32.33333333
960000,2.614197569,23.33333333
1000000,3.538157525,34