episode,mean_len,std_len,mean_returns,std_returns
0,10.344,5.186141533,-0.902591105,0.039577472
20,10.316,4.549477333,-0.902505886,0.036182769
40,9.768,2.059265889,-0.906717849,0.017706757
60,10.32,6.11594637,-0.903135257,0.044302448
80,18.208,29.43744445,-0.858006726,0.139070888
100,23.14,32.55858105,-0.82349693,0.156276086
120,83.56,32.44387153,-0.475192346,0.133303675
140,158.172,47.12640041,-0.238255397,0.13022912
160,180.724,40.41686559,-0.185849109,0.146442994
180,180.66,39.72777869,-0.183812576,0.131513634
200,185.288,34.81774628,-0.169763019,0.105052873
220,191.46,28.04474282,-0.156876905,0.106425692
240,184.576,34.76866727,-0.171980732,0.116572373
260,186.916,31.32863457,-0.163635698,0.077656585
280,181.992,42.03139703,-0.183750948,0.146743551
300,179.716,43.05050225,-0.189409535,0.156246107
320,183.168,34.29466104,-0.170615538,0.077834951
340,180,35.22944223,-0.177796927,0.0957706
360,181.38,37.92137656,-0.178539739,0.095889247
380,183.836,40.67230389,-0.180449132,0.152500167
400,182.876,32.70072513,-0.173063601,0.085053538
420,180.184,42.29912226,-0.185463033,0.133210402
440,175.288,45.21784002,-0.200461831,0.143982831
460,184.064,28.30486714,-0.164872147,0.058107829
480,173.996,44.26385415,-0.199004947,0.141616723
500,170.916,52.83903239,-0.217092571,0.1776583
520,173.208,49.64670317,-0.207764121,0.164057931
540,166.996,51.00642297,-0.224894246,0.184514673
560,176.384,42.31107354,-0.193446849,0.139683788
580,177.244,41.25986505,-0.189928487,0.121731798
600,169.812,47.2091586,-0.210239012,0.139040683
620,174.82,50.41882585,-0.208234509,0.17590785
640,160.56,61.19912418,-0.25661044,0.235717403
660,176.252,44.1787788,-0.196342351,0.149832017
680,181.684,36.87273443,-0.178616631,0.121268055
700,164.072,58.1294247,-0.24033691,0.204868619
720,173.376,43.2999333,-0.197001947,0.117668052
740,173.132,53.82627775,-0.216785955,0.198027735
760,175.556,55.45147486,-0.216143271,0.210454849
780,175.66,44.36458497,-0.196407141,0.139278312
800,157.28,57.40479422,-0.252988199,0.194427744
820,174.972,44.17228108,-0.198035921,0.142617131
840,172.98,39.77640004,-0.193166648,0.095672104
860,163.42,56.80963651,-0.243808242,0.209724399
880,174.952,38.95263914,-0.1910293,0.113836025
900,141.376,67.1385867,-0.314492421,0.256104548
920,165.444,57.45631092,-0.238439779,0.204929406
940,170.236,52.00311821,-0.218080177,0.184775931
960,159.396,56.46431071,-0.245611446,0.186419036
980,166.056,54.78820369,-0.232414528,0.206061529
1000,157.076,60.74281376,-0.261298627,0.217372693
1020,173.588,38.35335521,-0.193520818,0.102215995
1040,162.884,50.04978465,-0.23119473,0.173071871
1060,147.324,65.88369012,-0.296678821,0.249119063
1080,161.772,55.50139472,-0.243613876,0.200975868
1100,161.024,53.95284815,-0.237856515,0.17755447
1120,163.06,45.4579586,-0.219501969,0.127344246
1140,147.744,66.74060881,-0.295978089,0.250108619
1160,152.132,58.93408671,-0.268628237,0.203840425
1180,150.888,57.70353417,-0.270858921,0.212974405
1200,164.748,54.83160855,-0.235103409,0.204871647
1220,159.036,55.80121418,-0.248690089,0.204997384
1240,160.428,55.47457811,-0.242880157,0.191139875
1260,156.088,58.39531707,-0.258075381,0.208742129
1280,162.616,51.15363275,-0.233227556,0.175397585
1300,148.772,65.2949739,-0.289765895,0.244601892
1320,158.784,60.21555733,-0.257385575,0.22596352
1340,159.776,52.30314163,-0.237386438,0.165914889
1360,162.792,47.53981001,-0.226398441,0.156356049
1380,161.036,59.224923,-0.249733016,0.217800376
1400,159.444,60.10674891,-0.253927817,0.214649208
1420,162.296,49.68385235,-0.228822659,0.163003747
1440,142.704,66.206057,-0.307586581,0.244877812
1460,148.788,56.33362633,-0.269327783,0.186787104
1480,150.772,56.88180039,-0.265721164,0.18744187
1500,155.316,54.32527353,-0.251029989,0.177829657
1520,157.316,61.87362721,-0.26253459,0.225464371
1540,140.492,65.25775614,-0.312054066,0.242231989
1560,148.396,62.46456263,-0.286598605,0.224671709
1580,152.464,60.92214625,-0.271488227,0.220330469
1600,156.408,59.89520128,-0.262530737,0.214829579
1620,163.248,46.47945886,-0.221534672,0.133063767
1640,145.324,55.26876717,-0.277443204,0.190905145
1660,159.548,49.0481039,-0.235065464,0.14545579
1680,148.032,62.45645344,-0.282493313,0.20781351
1700,147.032,64.02933528,-0.289186078,0.226724985
1720,139.452,62.63970383,-0.307156389,0.222783069
1740,148.768,56.56679393,-0.270081565,0.182163173
1760,149.784,61.45028351,-0.278621357,0.212315396
1780,149.344,58.85343205,-0.272622096,0.194549327
1800,145.972,62.48692676,-0.291553984,0.223995927
1820,143.352,65.02636462,-0.301222119,0.227389178
1840,151.052,63.04733219,-0.277839976,0.222676914
1860,153.292,64.15087479,-0.277964351,0.230723801
1880,163.144,53.75761959,-0.234660857,0.184515025
1900,169.008,48.44085813,-0.213529424,0.154898223
1920,161.328,56.42482801,-0.243365226,0.200568414
1940,163.204,57.20070615,-0.240193136,0.200075259
1960,164.936,54.24954842,-0.231932192,0.192746507
1980,170.72,44.08676899,-0.203566455,0.12800157
2000,176.764,39.77839997,-0.187970643,0.118048447